descricao;endereco;area;quartos;wc;vagas;valor;condominio;wlink
Apartamento para venda possui 42 metros quadrados com 1/4, Sala em Brotas - Salvador - Bahia;Rua Irmã Dulce, 165;[];[1];[1];[];165000;395;https://www.vivareal.com.br//imovel/apartamento-1-quartos-brotas-bairros-salvador-42m2-venda-RS165000-id-2557690298/
Apartamento para venda possui 189 metros quadrados com 3 quartos em Piatã - Salvador - Bahia;Alameda das Samambaias, 620;[];[3];[4];[2];1050000;1167;https://www.vivareal.com.br//imovel/apartamento-3-quartos-piata-bairros-salvador-com-garagem-189m2-venda-RS1050000-id-2551323382/
Apartamento para venda possui 52 metros quadrados com 2 quartos em Santa Tereza - Salvador - Bahia;Rua Parambu, 505;['63'];[2];[2];[1];350000;464;https://www.vivareal.com.br//imovel/apartamento-2-quartos-santa-teresa-bairros-salvador-com-garagem-52m2-venda-RS350000-id-2525704920/
Apartamento para venda com 78 metros quadrados com 3 quartos em Itapuã - Salvador - Bahia;Avenida Dorival Caymmi, 3411;['95'];[3];[2];[1];260000;450;https://www.vivareal.com.br//imovel/apartamento-3-quartos-itapua-bairros-salvador-com-garagem-78m2-venda-RS260000-id-2494354474/
Apartamento para venda com 67 metros quadrados com 2 quartos em Brotas - Salvador - Bahia;Rua Doutor Renato Mendonça, 366;[];[2];[2];[1];300000;620;https://www.vivareal.com.br//imovel/apartamento-2-quartos-brotas-bairros-salvador-com-garagem-67m2-venda-RS300000-id-2539460065/
Apartamento para venda possui 70 metros quadrados com 3 quartos em Patamares - Salvador - Bahia;Rua Ibiassucê, 614;[];[3];[3];[2];640000;490;https://www.vivareal.com.br//imovel/apartamento-3-quartos-patamares-bairros-salvador-com-garagem-70m2-venda-RS640000-id-2548937301/
Apartamento para venda tem 58 metros quadrados com 2 quartos em Federação - Salvador - Bahia;Rua Engenheiro Afonso Oliva, 2400;['3'];[2];[2];[];240000;150;https://www.vivareal.com.br//imovel/apartamento-2-quartos-federacao-bairros-salvador-58m2-venda-RS240000-id-2523385807/
Apartamento para venda tem 55 metros quadrados com 2 quartos em Imbuí - Salvador - Bahia;Avenida Jorge Amado, 214;[];[2];[2];[1];297000;500;https://www.vivareal.com.br//imovel/apartamento-2-quartos-imbui-bairros-salvador-com-garagem-55m2-venda-RS297000-id-2546930498/
Flat para venda com 33 metros quadrados com 1 quarto em Praia do Flamengo - Salvador - Bahia;Alameda Mar Del Plata, 1808;['47'];[1];[1];[1];165000;300;https://www.vivareal.com.br//imovel/apartamento-1-quartos-stella-maris-bairros-salvador-com-garagem-33m2-venda-RS165000-id-2540818816/
Apartamento 3/4 venda térreo Av. Paulo VI Pituba;Rua Marechal Andréa, 59;[];[3];[2];[1];330000;300;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-125m2-venda-RS330000-id-2556683831/
Apartamento para venda com 50 metros quadrados e 1 quarto;Rua Desembargador Álvaro Clemente de Oliveira, 296;[];[1];[2];[1];350000;600;https://www.vivareal.com.br//imovel/apartamento-1-quartos-loteamento-aquarius-bairros-salvador-com-garagem-60m2-venda-RS350000-id-2527782173/
Apartamento para venda 50 metros quadrados com 1 quarto em Piatã - Salvador - Bahia;Avenida Octávio Mangabeira, 11843;['50'];[1];[1];[1];395000;680;https://www.vivareal.com.br//imovel/apartamento-1-quartos-piata-bairros-salvador-com-garagem-50m2-venda-RS395000-id-2555331740/
Apartamento para venda possui 81 metros quadrados com 3 quartos em Stiep - Salvador - Bahia;Rua Márcio Baptista, 104;['102'];[3];[2];[1];440000;505;https://www.vivareal.com.br//imovel/apartamento-3-quartos-stiep-bairros-salvador-com-garagem-81m2-venda-RS440000-id-2547885581/
Apartamento para venda possui 61 metros quadrados com 3 quartos em São Caetano - Salvador - Bahia;Conjunto Tertuliano Soares de Góes, S/N;['61'];[3];[1];[1];160000;170;https://www.vivareal.com.br//imovel/apartamento-3-quartos-sao-caetano-bairros-salvador-com-garagem-61m2-venda-RS160000-id-2553178924/
Apartamento para venda com 51 metros quadrados com 1 quarto em Costa Azul - Salvador - Bahia;Rua Doutor Boureau, 45;['60'];[1];[1];[2];350000;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-costa-azul-bairros-salvador-com-garagem-51m2-venda-RS350000-id-2554234627/
Apartamento para venda tem 54 metros quadrados com 2 quartos em Canabrava - Salvador - Bahia;Rua Nova Cidade II, 53;[];[2];[1];[1];125500;160;https://www.vivareal.com.br//imovel/apartamento-2-quartos-paralela-bairros-salvador-com-garagem-54m2-venda-RS125500-id-2520871626/
Apartamento para venda possui 140 metros quadrados com 3 quartos em Pituba - Salvador - Bahia;Avenida Professor Magalhães Neto;['140'];[3];[3];[1];499999;700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-140m2-venda-RS499999-id-2540294686/
Apartamento para venda tem 450 metros quadrados com 4 quartos em Jardim Apipema - Salvador - Bahia;Rua Professor Sabino Silva, 443;[];[4];[6];[5];1900000;3800;https://www.vivareal.com.br//imovel/apartamento-4-quartos-jardim-apipema-bairros-salvador-com-garagem-450m2-venda-RS1900000-id-2551317614/
Apartamento para venda possui 67 metros quadrados com 1 quarto em Pituba - Salvador - Bahia;Rua São Paulo, 102;[];[1];[1];[1];280000;488;https://www.vivareal.com.br//imovel/apartamento-1-quartos-pituba-bairros-salvador-com-garagem-67m2-venda-RS280000-id-2551214783/
Apartamento para venda possui 107 m² com 3 quartos;Rua Senador Theotônio Vilela, 279;[];[3];[3];[2];360000;918;https://www.vivareal.com.br//imovel/apartamento-3-quartos-parque-bela-vista-bairros-salvador-com-garagem-107m2-venda-RS360000-id-2528514924/
Apartamento para venda tem 57 metros quadrados com 1 quarto em Ondina - Salvador - Bahia;Avenida Oceânica, 3419;[];[1];[1];[1];360000;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-ondina-bairros-salvador-com-garagem-57m2-venda-RS360000-id-2511981164/
Apartamento para venda tem 115 metros quadrados com 2 quartos em Barris - Salvador - Bahia;Rua General Labatut, 43;[];[2];[1];[1];320000;550;https://www.vivareal.com.br//imovel/apartamento-2-quartos-barris-bairros-salvador-com-garagem-115m2-venda-RS320000-id-2556138715/
Apartamento para venda tem 166 metros quadrados com 2 quartos em Pituba - Salvador - Bahia;Rua Pará, 454;[];[2];[2];[1];550000;600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pituba-bairros-salvador-com-garagem-166m2-venda-RS550000-id-2555262301/
Apartamento para venda com 97 metros quadrados com 2 quartos em Ondina - Salvador - Bahia;Rua Senta Púa, 303;[];[2];[2];[2];1100000;812;https://www.vivareal.com.br//imovel/apartamento-2-quartos-ondina-bairros-salvador-com-garagem-97m2-venda-RS1100000-id-2556647393/
Apartamento para venda tem 92 metros quadrados com 3 quartos em Rio Vermelho - Salvador - Bahia;Rua Barão do Triunfo, 48;['115'];[3];[2];[1];390000;1400;https://www.vivareal.com.br//imovel/apartamento-3-quartos-rio-vermelho-bairros-salvador-com-garagem-92m2-venda-RS390000-id-2515808787/
Apartamento a venda no imbuí, 2/4 revertido para ¼;Rua das Patativas;[];[1];[2];[2];339000;410;https://www.vivareal.com.br//imovel/apartamento-1-quartos-imbui-bairros-salvador-com-garagem-59m2-venda-RS339000-id-2552908205/
Apartamento para venda com 128 metros quadrados com 2 quartos em Barra - Salvador - Bahia;Avenida Oceânica, 265;['145'];[2];[3];[1];890000;1150;https://www.vivareal.com.br//imovel/apartamento-2-quartos-barra-bairros-salvador-com-garagem-128m2-venda-RS890000-id-2555170619/
Apartamento para venda tem 150 metros quadrados com 3 quartos em Costa Azul - Salvador - Bahia;Rua Professor Cassilandro Barbuda, 1007;['148'];[3];[3];[1];457000;800;https://www.vivareal.com.br//imovel/apartamento-3-quartos-costa-azul-bairros-salvador-com-garagem-150m2-venda-RS457000-id-2556524012/
Apartamento com 2 suítes e infraestrura completa no Loteamento Aquarius - Condomínio Amazon;Avenida Professor Magalhães Neto, 1741;[];[2];[3];[2];700000;998;https://www.vivareal.com.br//imovel/apartamento-2-quartos-loteamento-aquarius-bairros-salvador-com-garagem-94m2-venda-RS700000-id-2553754438/
Apartamento para venda tem 86 metros quadrados com 4 quartos em Armação - Salvador - Bahia;Rua Rodolpho Coelho Cavalcante, 280;['126'];[4];[3];[1];431000;725;https://www.vivareal.com.br//imovel/apartamento-4-quartos-armacao-bairros-salvador-com-garagem-86m2-venda-RS431000-id-2474383476/
Apartamento para venda possui 60 metros quadrados com 2 quartos em Mata Escura - Salvador - Bahia;1ª Avenida Recanto Verde, 262A;[];[2];[1];[2];130000;260;https://www.vivareal.com.br//imovel/apartamento-2-quartos-mata-escura-bairros-salvador-com-garagem-60m2-venda-RS130000-id-2551477155/
Apartamento para venda tem 50 metros quadrados com 1 quarto em Barra - Salvador - Bahia;Rua Afonso Celso, 535;[];[1];[1];[1];650000;520;https://www.vivareal.com.br//imovel/apartamento-1-quartos-barra-bairros-salvador-com-garagem-50m2-venda-RS650000-id-2546124016/
Apartamento para venda com 130 metros quadrados com 4 quartos em Brotas - Salvador - Bahia;Rua Miguel Gustavo, 424;['140'];[4];[3];[1];400000;950;https://www.vivareal.com.br//imovel/apartamento-4-quartos-brotas-bairros-salvador-com-garagem-130m2-venda-RS400000-id-2471091487/
Apartamento para venda tem 59 metros quadrados com 3 quartos em Narandiba - Salvador - Bahia;Avenida Edgard Santos, 501;['59'];[3];[2];[1];265000;420;https://www.vivareal.com.br//imovel/apartamento-3-quartos-narandiba-bairros-salvador-com-garagem-59m2-venda-RS265000-id-2529827418/
Apartamento para venda com 68 metros quadrados com 2 quartos em Garibaldi - Salvador - Bahia;Rua Monsenhor Ápio Silva, 72;['70'];[2];[3];[2];520000;460;https://www.vivareal.com.br//imovel/apartamento-2-quartos-federacao-bairros-salvador-com-garagem-68m2-venda-RS520000-id-2538771496/
Apartamento para venda com 80 metros quadrados com 2 quartos em Armação - Salvador - Bahia;Rua Desembargador Vieira Lima, 149;[];[2];[2];[2];800000;775;https://www.vivareal.com.br//imovel/apartamento-2-quartos-armacao-bairros-salvador-com-garagem-80m2-venda-RS800000-id-2549195056/
Apartamento para venda possui 440 metros quadrados com 5 quartos em Rio Vermelho - Salvador - Bahia;Avenida Juracy Magalhães Júnior, 1855;[];[5];[6];[3];2200000;3871;https://www.vivareal.com.br//imovel/apartamento-5-quartos-rio-vermelho-bairros-salvador-com-garagem-440m2-venda-RS2200000-id-2510024007/
Apartamento para venda possui 125 metros quadrados com 3 quartos em Pituba - Salvador - Bahia;Rua Ceará, 1;['165'];[3];[3];[1];420000;1350;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-125m2-venda-RS420000-id-2501954621/
Apartamento para venda possui 275 metros quadrados com 5 quartos;Rua Waldemar Falcão, 1495;['431'];[5];[6];[4];2025000;2300;https://www.vivareal.com.br//imovel/apartamento-5-quartos-horto-florestal-bairros-salvador-com-garagem-275m2-venda-RS2025000-id-2477307280/
Apartamento mobiliado para venda com 120 metros quadrados com 4 quartos em Pituba - Salvador - Bahia;Rua das Margaridas, 239;[];[4];[3];[1];550000;1050;https://www.vivareal.com.br//imovel/apartamento-4-quartos-pituba-bairros-salvador-com-garagem-120m2-venda-RS550000-id-2521880076/
Apartamento para venda com 32 metros quadrados com 1 quarto em Barra - Salvador - Bahia;Avenida Sete de Setembro, 3435;['32'];[1];[2];[0];210000;250;https://www.vivareal.com.br//imovel/apartamento-1-quartos-barra-bairros-salvador-32m2-venda-RS210000-id-2520864795/
Apartamento para venda com 120 m2, 3 quartos, reformado e mobiliado, ótima localização em Nazaré;Rua Arquimedes Gonçalves, 1;['120'];[3];[3];[];370000;540;https://www.vivareal.com.br//imovel/apartamento-3-quartos-nazare-bairros-salvador-120m2-venda-RS370000-id-2552392368/
Apartamento para venda com 75 metros quadrados com 3 quartos em Costa Azul - Salvador - Bahia;-;['105'];[3];[3];[1];350000;760;https://www.vivareal.com.br//imovel/apartamento-3-quartos-costa-azul-bairros-salvador-com-garagem-75m2-venda-RS350000-id-2526102703/
Apartamento para venda possui 84 metros quadrados com 3 quartos em Rio Vermelho - Salvador - Bahia;Rua Maragogipe, 329;['120'];[3];[3];[1];390000;500;https://www.vivareal.com.br//imovel/apartamento-3-quartos-rio-vermelho-bairros-salvador-com-garagem-84m2-venda-RS390000-id-2512072518/
Apartamento para aluguel tem 48 metros quadrados com 2 quartos;Rua Joaquim Ferreira, 1287;[];[2];[2];[1];148000;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jardim-das-margaridas-bairros-salvador-com-garagem-48m2-venda-RS148000-id-2539936392/
Apartamento amplo na Pituba para venda com 144 m² por R$ 380.000,00 - Salvador/BA;Rua Rubem Berta, 291;['144'];[3];[3];[2];380000;700;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-144m2-venda-RS380000-id-2553770706/
Apartamento para venda possui 156 metros quadrados com 4 quartos em Graça - Salvador - Bahia;Rua Djalma Ramos, 166;[];[4];[3];[];850000;1850;https://www.vivareal.com.br//imovel/apartamento-4-quartos-graca-bairros-salvador-156m2-venda-RS850000-id-2480766594/
Apartamento para venda possui 62 metros quadrados com 2 quartos em Vila Laura - Salvador - Bahia;Rua Bernardo Spector, 323;['112'];[2];[2];[1];330000;450;https://www.vivareal.com.br//imovel/apartamento-2-quartos-vila-laura-bairros-salvador-com-garagem-62m2-venda-RS330000-id-2555318514/
Apartamento para venda com 120 metros quadrados com 4 quartos em Alto do Itaigara - Salvador - Bahia;Rua Doutor Hosannah de Oliveira, 115;[];[4];[3];[2];780000;780;https://www.vivareal.com.br//imovel/apartamento-4-quartos-itaigara-bairros-salvador-com-garagem-120m2-venda-RS780000-id-2553769632/
Blue Barra;Rua Marquês de Caravelas, sn;['36'];[1];[1];[1];475000;-;https://www.vivareal.com.br//imovel/apartamento-1-quartos-barra-bairros-salvador-com-garagem-36m2-venda-RS475000-id-2550927474/
Apartamento para venda tem 80 metros quadrados com 3 quartos em Candeal - Salvador - Bahia;Rua Alexandrina Ramalho;[];[3];[3];[2];395000;763;https://www.vivareal.com.br//imovel/apartamento-3-quartos-candeal-bairros-salvador-com-garagem-80m2-venda-RS395000-id-2489921490/
Apartamento possui 60 metros quadrados com 2 quartos em Cabula - Salvador - Bahia;Rua Silveira Martins, 433;['60'];[2];[1];[2];280000;180;https://www.vivareal.com.br//imovel/apartamento-2-quartos-cabula-bairros-salvador-com-garagem-60m2-venda-RS280000-id-2469180274/
Apartamento de 2/4 na Avenida Vasco da Gama - venda;Avenida Vasco da Gama, 668;[];[2];[1];[];200000;150;https://www.vivareal.com.br//imovel/apartamento-2-quartos-engenho-velho-de-brotas-bairros-salvador-50m2-venda-RS200000-id-2551372957/
Apartamento para venda com 330 metros quadrados com 5 quartos em Barra - Salvador - Bahia;Rua Tenente Pires Ferreira, 143;['500'];[5];[6];[3];2100000;2100;https://www.vivareal.com.br//imovel/apartamento-5-quartos-barra-bairros-salvador-com-garagem-330m2-venda-RS2100000-id-2513753979/
Apartamento para venda -R$ 340.000, ou Aluguel 1.100,00 Costa Azul - Salvador - Bahia;Rua Professor Isaías Alves de Almeida;[];[3];[3];[1];340000;780;https://www.vivareal.com.br//imovel/apartamento-3-quartos-costa-azul-bairros-salvador-com-garagem-82m2-venda-RS340000-id-2546149313/
Apartamento para venda possui 190 metros quadrados com 4 quartos em Brotas - Salvador - Bahia;Ladeira da Cruz da Redenção, 100;[];[4];[3];[2];490000;1300;https://www.vivareal.com.br//imovel/apartamento-4-quartos-candeal-bairros-salvador-com-garagem-190m2-venda-RS490000-id-2550183565/
Apartamento da tenda com 2 quartos em Areia Branca - Salvador - Bahia;Rua Viver Salvador, 11;['50'];[2];[1];[];40000;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-areia-branca-bairros-salvador-50m2-venda-RS40000-id-2515981873/
Apartamento para venda tem 70 metros quadrados com 3 quartos em Luiz Anselmo - Brotas - Salvador;Rua Luiz Anselmo, 1254;['70'];[3];[2];[1];297000;450;https://www.vivareal.com.br//imovel/apartamento-3-quartos-luis-anselmo-bairros-salvador-com-garagem-70m2-venda-RS297000-id-2477239090/
Apartamento para venda possui 85 metros quadrados com 4 quartos em Candeal - Salvador - Bahia;Rua Senador Theotônio Vilela, 263;['89'];[4];[3];[2];440000;748;https://www.vivareal.com.br//imovel/apartamento-4-quartos-parque-bela-vista-bairros-salvador-com-garagem-85m2-venda-RS440000-id-2541291580/
Apartamento para venda tem 129 metros quadrados com 3 quartos em Graça - Salvador - Bahia;Rua Rio de São Pedro, 24;[];[3];[3];[1];560000;1200;https://www.vivareal.com.br//imovel/apartamento-3-quartos-graca-bairros-salvador-com-garagem-129m2-venda-RS560000-id-2485497752/
Apartamento 340m² Itaigara;Rua Monsenhor Eugênio Veiga, 233;[];[4];[6];[4];1300000;2000;https://www.vivareal.com.br//imovel/apartamento-4-quartos-itaigara-bairros-salvador-com-garagem-340m2-venda-RS1300000-id-2508854180/
Apartamento de 195 metros quadrados no bairro Horto Florestal com 4 quartos;Rua Waldemar Falcão;[];[4];[5];[3];1280000;1800;https://www.vivareal.com.br//imovel/apartamento-4-quartos-horto-florestal-bairros-salvador-com-garagem-195m2-venda-RS1280000-id-2427671127/
Apartamento para venda, 3 quartos, 90 mts quadrados, em Pituaçu - Salvador - Bahia;Rua Marquês de Queluz;[];[3];[3];[2];750000;590;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituacu-bairros-salvador-com-garagem-90m2-venda-RS750000-id-2531992759/
Apartamento para venda tem 110 metros quadrados com 3 quartos em Federação - Salvador - Bahia;Rua Jardim Federação, 334;[];[3];[2];[1];275000;600;https://www.vivareal.com.br//imovel/apartamento-3-quartos-federacao-bairros-salvador-com-garagem-110m2-venda-RS275000-id-2546256807/
Apartamento 2/4 - Varanda - Área de Serviço - na Caixa D'Água - Salvador - Bahia;Rua Doutor Mário de Souza Dantas, 10;[];[2];[2];[];149900;-;https://www.vivareal.com.br//imovel/apartamento-2-quartos-caixa-d-agua-bairros-salvador-45m2-venda-RS149900-id-2540390291/
Apartamento de 2 Quartos em Pituba - Salvador - Bahia;Rua Carmem Miranda, 367;[];[2];[2];[1];235000;930;https://www.vivareal.com.br//imovel/apartamento-2-quartos-pituba-bairros-salvador-com-garagem-68m2-venda-RS235000-id-2474842409/
Apartamento para venda tem 55 metros quadrados com 1 quarto em Patamares - Salvador - Bahia;Avenida Luís Viana Filho, 6312;[];[1];[1];[];430000;460;https://www.vivareal.com.br//imovel/apartamento-1-quartos-patamares-bairros-salvador-55m2-venda-RS430000-id-2518771483/
Cobertura no COSTA ESPAÑA;Rua Senta Púa;[];[2];[3];[1];1200000;1300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-ondina-bairros-salvador-com-garagem-142m2-venda-RS1200000-id-2508148991/
Apartamento para venda no Spazio Salvador Norte;Travessa Acalanto, 228;[];[2];[2];[1];200000;245;https://www.vivareal.com.br//imovel/apartamento-2-quartos-jardim-das-margaridas-bairros-salvador-com-garagem-65m2-venda-RS200000-id-2552441490/
Já vendido.;-;['70'];[2];[2];[1];300000;1;https://www.vivareal.com.br//imovel/apartamento-2-quartos-brotas-bairros-salvador-com-garagem-70m2-venda-RS300000-id-2466068924/
Apartamento para venda possui 121 metros quadrados com 3 quartos em Pituba - Salvador - Bahia;Rua Guillard Muniz, 96;[];[3];[3];[2];380000;397;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-121m2-venda-RS380000-id-2556351842/
Excelente Apartamento para venda com 130 m²;Rua Manoel Barreto, .;['252'];[3];[3];[2];880000;1250;https://www.vivareal.com.br//imovel/apartamento-3-quartos-graca-bairros-salvador-com-garagem-130m2-venda-RS880000-id-2544810740/
Apartamento para venda tem 74 metros quadrados com 3 quartos;Avenida Dom João VI, 01;[];[3];[2];[1];420000;-;https://www.vivareal.com.br//imovel/apartamento-3-quartos-brotas-bairros-salvador-com-garagem-74m2-venda-RS420000-id-2557381140/
Apartamento para venda possui 49 metros quadrados com 1 quarto em Stiep - Salvador - Bahia;Rua Márcio Baptista, 165;['62'];[1];[1];[1];285000;550;https://www.vivareal.com.br//imovel/apartamento-1-quartos-stiep-bairros-salvador-com-garagem-49m2-venda-RS285000-id-2554946108/
Apartamento Para Venda 82m², 2 quartos | Rio Vermelho - Salvador, BA;Rua Maragogipe, 485;['82'];[2];[2];[1];250000;300;https://www.vivareal.com.br//imovel/apartamento-2-quartos-rio-vermelho-bairros-salvador-com-garagem-82m2-venda-RS250000-id-2558149567/
Apartamento para venda com 67 metros quadrados com 2 quartos em Rio Vermelho - Salvador - Bahia;Largo da Mariquita, 176;['74'];[2];[2];[1];529500;600;https://www.vivareal.com.br//imovel/apartamento-2-quartos-rio-vermelho-bairros-salvador-com-garagem-67m2-venda-RS529500-id-2553791197/
Apartamento 3/4 com suíte na Ribeira! (REFORMADO);Rua Afonso Sertão, 20;['84'];[3];[2];[];170000;35;https://www.vivareal.com.br//imovel/apartamento-3-quartos-ribeira-bairros-salvador-77m2-venda-RS170000-id-2500382931/
2 suítes Vista Mar;Rua Oito de Dezembro, 335;['98'];[2];[2];[2];980000;1200;https://www.vivareal.com.br//imovel/apartamento-2-quartos-graca-bairros-salvador-com-garagem-98m2-venda-RS980000-id-2553767918/
Apartamento para Venda em Salvador, Barra, 4 dormitórios, 4 suítes, 6 banheiros, 3 vagas;Avenida Princesa Isabel, 669;['187'];[4];[6];[3];1390000;1500;https://www.vivareal.com.br//imovel/apartamento-4-quartos-barra-bairros-salvador-com-garagem-187m2-venda-RS1390000-id-2556857650/
MONVERT - 285 M2 - Horto Florestal;Rua Estácio Gonzaga, 640;[];[4];[6];[4];3600000;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-horto-florestal-bairros-salvador-com-garagem-285m2-venda-RS3600000-id-2507195276/
Apartamento com 1 dormitório à venda, 52 m² por R$ 330.000,00 - Caminho das Árvores - Salvador/BA;Avenida Tancredo Neves, 2227;['10000'];[1];[1];[1];330000;473;https://www.vivareal.com.br//imovel/apartamento-1-quartos-caminho-das-arvores-bairros-salvador-com-garagem-52m2-venda-RS330000-id-2556027602/
Apartamento 3/4 a venda na Pituba;Rua Cícero Simões, 251;['81'];[3];[3];[2];550000;971;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-81m2-venda-RS550000-id-2556442348/
Apartamento amplo, vista plena do mar, em rua tranquila!;Rua Barro Vermelho, 290;[];[3];[4];[2];1600000;1879;https://www.vivareal.com.br//imovel/apartamento-3-quartos-rio-vermelho-bairros-salvador-com-garagem-218m2-venda-RS1600000-id-2556829986/
Apartamento 3/4 com 145 m² no Costa Azul;Rua Arthur de Azevêdo Machado, ;[];[4];[3];[2];3000;-;https://www.vivareal.com.br//imovel/apartamento-4-quartos-costa-azul-bairros-salvador-com-garagem-145m2-venda-RS325000-id-2557231628/
Apartamento Para Venda 76m², 2 quartos | Rio Vermelho - Salvador, BA;Rua Theodomiro Baptista, 470;['76'];[2];[4];[1];350000;750;https://www.vivareal.com.br//imovel/apartamento-2-quartos-rio-vermelho-bairros-salvador-com-garagem-76m2-venda-RS350000-id-2558152155/
Apartamento para venda possui 171 metros quadrados com 3 quartos em Pituba;Rua Fernando Menezes de Góes;[];[3];[3];[2];300000;300;https://www.vivareal.com.br//imovel/apartamento-3-quartos-pituba-bairros-salvador-com-garagem-171m2-venda-RS300000-id-2554519806/
Lindo 2/4 no Residencial LIFE III;Rua Vale do Abaré, 729;[];[2];[1];[1];135000;170;https://www.vivareal.com.br//imovel/apartamento-2-quartos-sussuarana-bairros-salvador-com-garagem-41m2-venda-RS135000-id-2556554867/
Apartamento para venda com 41 m² com 1 quarto em Pituba - Salvador - BA;Avenida Manoel Dias da Silva, 328;[];[1];[1];[1];180000;500;https://www.vivareal.com.br//imovel/apartamento-1-quartos-pituba-bairros-salvador-com-garagem-41m2-venda-RS180000-id-2556912814/
FLAT NA BARRA - ótima Localização;Avenida Princesa Isabel, 526;[];[1];[1];[1];270000;820;https://www.vivareal.com.br//imovel/apartamento-1-quartos-barra-bairros-salvador-com-garagem-32m2-venda-RS270000-id-2556507120/
